486
0 -1.0 -1.0 10.0 263.0 73.0
1 -1.0 -1.0 5.0 327.0 54.0
2 -1.0 -1.0 5.0 118.0 27.0
3 -1.0 -1.0 12.0 129.0 51.0
4 -1.0 -1.0 19.0 62.0 62.0
5 -1.0 -1.0 8.0 123.0 95.0
6 -1.0 -1.0 7.0 53.0 82.0
7 -1.0 -1.0 15.0 301.0 49.0
8 -1.0 -1.0 13.0 114.0 56.0
9 -1.0 -1.0 20.0 45.0 41.0
10 -1.0 -1.0 17.0 156.0 17.0
11 -1.0 -1.0 5.0 48.0 37.0
12 -1.0 -1.0 17.0 300.0 99.0
13 -1.0 -1.0 11.0 195.0 26.0
14 -1.0 -1.0 13.0 228.0 54.0
15 -1.0 -1.0 9.0 362.0 60.0
16 -1.0 -1.0 9.0 300.0 66.0
17 -1.0 -1.0 7.0 29.0 99.0
18 -1.0 -1.0 11.0 366.0 40.0
19 -1.0 -1.0 5.0 308.0 22.0
20 -1.0 -1.0 18.0 313.0 70.0
21 -1.0 -1.0 12.0 347.0 96.0
22 -1.0 -1.0 13.0 339.0 58.0
23 -1.0 -1.0 4.0 300.0 38.0
24 -1.0 -1.0 18.0 113.0 24.0
25 -1.0 -1.0 8.0 366.0 89.0
26 -1.0 -1.0 5.0 123.0 23.0
27 -1.0 -1.0 10.0 299.0 93.0
28 -1.0 -1.0 10.0 134.0 21.0
29 -1.0 -1.0 20.0 354.0 46.0
30 -1.0 -1.0 15.0 198.0 27.0
31 -1.0 -1.0 14.0 305.0 25.0
32 -1.0 -1.0 16.0 383.0 41.0
33 -1.0 -1.0 6.0 222.0 62.0
34 -1.0 -1.0 15.0 400.0 43.0
35 -1.0 -1.0 9.0 203.0 63.0
36 -1.0 -1.0 11.0 196.0 52.0
37 -1.0 -1.0 11.0 291.0 21.0
38 -1.0 -1.0 5.0 394.0 78.0
39 -1.0 -1.0 10.0 143.0 20.0
40 -1.0 -1.0 19.0 21.0 93.0
41 -1.0 -1.0 12.0 74.0 32.0
42 -1.0 -1.0 17.0 298.0 88.0
43 -1.0 -1.0 17.0 227.0 36.0
44 -1.0 -1.0 17.0 255.0 73.0
45 -1.0 -1.0 20.0 279.0 69.0
46 -1.0 -1.0 20.0 98.0 95.0
47 -1.0 -1.0 6.0 347.0 53.0
48 -1.0 -1.0 8.0 95.0 73.0
49 -1.0 -1.0 19.0 167.0 35.0
50 -1.0 -1.0 19.0 371.0 79.0
51 -1.0 -1.0 14.0 256.0 59.0
52 -1.0 -1.0 6.0 248.0 73.0
53 -1.0 -1.0 16.0 223.0 26.0
54 -1.0 -1.0 5.0 183.0 20.0
55 -1.0 -1.0 14.0 243.0 74.0
56 -1.0 -1.0 10.0 197.0 27.0
57 -1.0 -1.0 19.0 125.0 24.0
58 -1.0 -1.0 16.0 349.0 18.0
59 -1.0 -1.0 11.0 225.0 85.0
60 -1.0 -1.0 18.0 110.0 88.0
61 -1.0 -1.0 10.0 74.0 21.0
62 -1.0 -1.0 13.0 368.0 66.0
63 -1.0 -1.0 20.0 285.0 47.0
64 -1.0 -1.0 11.0 62.0 67.0
65 -1.0 -1.0 20.0 79.0 66.0
66 -1.0 -1.0 19.0 202.0 68.0
67 -1.0 -1.0 7.0 154.0 50.0
68 -1.0 -1.0 8.0 354.0 69.0
69 -1.0 -1.0 5.0 286.0 20.0
70 -1.0 -1.0 12.0 287.0 45.0
71 -1.0 -1.0 5.0 95.0 54.0
72 -1.0 -1.0 20.0 278.0 79.0
73 -1.0 -1.0 8.0 151.0 40.0
74 -1.0 -1.0 19.0 278.0 43.0
75 -1.0 -1.0 10.0 360.0 24.0
76 -1.0 -1.0 8.0 253.0 95.0
77 -1.0 -1.0 18.0 126.0 31.0
78 -1.0 -1.0 19.0 184.0 24.0
79 -1.0 -1.0 16.0 284.0 28.0
80 -1.0 -1.0 17.0 335.0 33.0
81 -1.0 -1.0 15.0 111.0 69.0
82 -1.0 -1.0 5.0 390.0 87.0
83 -1.0 -1.0 7.0 375.0 84.0
84 -1.0 -1.0 13.0 199.0 65.0
85 -1.0 -1.0 13.0 361.0 36.0
86 -1.0 -1.0 4.0 136.0 35.0
87 -1.0 -1.0 14.0 220.0 28.0
88 -1.0 -1.0 11.0 261.0 48.0
89 -1.0 -1.0 9.0 362.0 77.0
90 -1.0 -1.0 19.0 282.0 55.0
91 -1.0 -1.0 11.0 84.0 84.0
92 -1.0 -1.0 9.0 359.0 78.0
93 -1.0 -1.0 7.0 259.0 70.0
94 -1.0 -1.0 9.0 312.0 18.0
95 -1.0 -1.0 5.0 290.0 21.0
96 -1.0 -1.0 15.0 310.0 65.0
97 -1.0 -1.0 12.0 194.0 58.0
98 -1.0 -1.0 19.0 264.0 42.0
99 -1.0 -1.0 20.0 167.0 49.0
100 -1.0 -1.0 14.0 251.0 15.0
101 -1.0 -1.0 6.0 261.0 28.0
102 -1.0 -1.0 17.0 136.0 43.0
103 -1.0 -1.0 6.0 306.0 93.0
104 -1.0 -1.0 16.0 335.0 93.0
105 -1.0 -1.0 4.0 345.0 29.0
106 -1.0 -1.0 14.0 362.0 46.0
107 -1.0 -1.0 12.0 133.0 32.0
108 -1.0 -1.0 14.0 263.0 96.0
109 -1.0 -1.0 12.0 309.0 31.0
110 -1.0 -1.0 16.0 123.0 60.0
111 -1.0 -1.0 18.0 360.0 43.0
112 -1.0 -1.0 13.0 301.0 90.0
113 -1.0 -1.0 15.0 354.0 90.0
114 -1.0 -1.0 4.0 213.0 60.0
115 -1.0 -1.0 8.0 332.0 99.0
116 -1.0 -1.0 18.0 307.0 38.0
